Id	Description	Qty	Unit	Designators
1	Cable, 18 wires	0	m	W_BULKHEAD_A
2	Cable, 35 wires	0	m	W_BULKHEAD_B
3	Connector, Maven / Deutsch HD30 shell-size-24 35-way flange receptacle, Connector A cabin side — permanent. 8HP + accessories + WBO2 + boost solenoid + APS., 35 pins	1		BULKHEAD_A_CABIN
4	Connector, Maven / Deutsch HD30 shell-size-24 35-way jam nut plug, Connector A engine side — permanent (never swapped)., 35 pins	1		BULKHEAD_A_ENGINE
5	Connector, Maven / Deutsch HD30 shell-size-24 47-way flange receptacle, Connector B cabin side — permanent. Engine control signals., 47 pins	1		BULKHEAD_B_CABIN
6	Connector, Maven / Deutsch HD30 shell-size-24 47-way jam nut plug, Connector B engine side — M52 Phase 1. Unplugs at 07K swap., 47 pins	1		BULKHEAD_B_ENGINE_M52
